key,key:userAccount,name,expectedBenefits,email,webPage
sponsor-31,user-account-sponsor-31,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.fzkPWQdvCzbEVjbJmKmUdcRPExDfEDdFfFYtmdeRCutDttRmhHktmNPntKqzZhMNuaYcMvnPbuBdVSKTtHhMdDMBkHdeqkZQZMptMDDXtYcXDkABgTBLVtRWgzgWVXrBfiBaNYyhFTuCrUnuhYGWuGtBPnNtGJmDcWcUScRcHLKCeTcVDPqqAWRUSAhWGgZchjbiBrcbiUZDypbUaYHzHeVVZzYRPNNubwGcNSwTrStZcZ.com
sponsor-32,user-account-sponsor-32,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.fzkPWQdvCzbEVjbJmKmUdcRPExDfEDdFfFYtmdeRCutDttRmhHktmNPntKqzZhMNuaYcMvnPbuBdVSKTtHhMdDMBkHdeqkZQZMptMDDXtYcXDkABgTBLVtRWgzgWVXrBfiBaNYyhFTuCrUnuhYGWuGtBPnNtGJmDcWcUScRcHLKCeTcVDPqqAWRUSAhWGgZchjbiBrcbiUZDypbUaYHzHeVVZzYRPNNubwGcNSwTrStZcZY.com
sponsor-33,user-account-sponsor-33,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.サンプルテキスト.com
sponsor-34,user-account-sponsor-34,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.требовать.com
sponsor-35,user-account-sponsor-35,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.google.com?
sponsor-36,user-account-sponsor-36,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.google.com?a&b
sponsor-37,user-account-sponsor-37,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,https://www.lorem-ipsum.org
sponsor-38,user-account-sponsor-38,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,ftp://www.lorem-ipsum.org
sponsor-39,user-account-sponsor-39,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://www.lorem-ipsum.org/dolor/sit.html
sponsor-40,user-account-sponsor-40,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://www.lorem-ipsum.org/dolor/sit.html#dolor
sponsor-41,user-account-sponsor-41,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://example.org?a=1&b=2
sponsor-42,user-account-sponsor-42,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://example.org?a
sponsor-43,user-account-sponsor-43,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://example.org/
sponsor-44,user-account-sponsor-44,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://example.org/a
sponsor-45,user-account-sponsor-45,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://example.org/a/b
sponsor-46,user-account-sponsor-46,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://example.org/a/b?
sponsor-47,user-account-sponsor-47,Sponsor Smith,Basic benefit,sponsorsmith@gmail.com,http://example.org/a/b?a&b
