key,code,initiate-moment,finalization-moment,location,instructor,contact-email,draft,link,key:training-module
training-session-27,"TS-A-027",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","<META HTTP-EQUIV="refresh" CONTENT="1;url=http://www.test.com">","alfalolan@acme.es",false,"https://www.quora.com",training-module-01
training-session-28,"TS-A-028",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","javascript:alert('Executed!')","a@a.es",false,"https://www.quora.com",training-module-01
training-session-29,"TS-A-029",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","javascript:alert('Executed!')","al@a.es",false,"https://www.quora.com",training-module-01
training-session-30,"TS-A-030",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","javascript:alert('Executed!')","alfalolan@acme.es",false,"https://www.quora.com",training-module-01
training-session-31,"TS-A-031",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","javascript:alert('Executed!')","alfalolan1alfalolan1alfalolan1alfalolan1alfalolan1alfalolan1alf@acmesacmesacmesacmesacmesacmesacmesacmesacmesacmesacmesacmesacm.es",false,"https://www.quora.com",training-module-01
training-session-32,"TS-A-031",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","javascript:alert('Executed!')","alfalolan1alfalolan1alfalolan1alfalolan1alfalolan1alfalolan1alfa@acmesacmesacmesacmesacmesacmesacmesacmesacmesacmesacmesacmesacm.es",false,"https://www.quora.com",training-module-01
training-session-33,"TS-A-033",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","alfalolan","alfalolan@acme.es",false,,training-module-01
training-session-34,"TS-A-034",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","alfalolan","alfalolan@acme.es",false,"https://t.ly",training-module-01
training-session-35,"TS-A-035",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","alfalolan","alfalolan@acme.es",false,"https://te.ly",training-module-01
training-session-36,"TS-A-036",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","alfalolan","alfalolan@acme.es",false,"https://google.es",training-module-01
training-session-37,"TS-A-037",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","alfalolan","alfalolan@acme.es",false,"https://pdjqxqydibodqqzxtococqybygllvfnocwirixvvismirniwmovvidxipgrpcdkoxpqmunjjudzthmxxjzuabgwcsinaowqxtlvvejencuiwvaskozgipsqqjsqoouirhkczozxqmdmanpsyohemifibdtvpeeflqlbvxrvvvfultygerbxuckpsklwiqvdmjjlvqwrqymbygbtibomarltfrwqbwrbweklkjbdusdcsmddeld.com",training-module-01
training-session-38,"TS-A-038",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","alfalolan","alfalolan@acme.es",false,"https://pdjqxqydibodqqzxtococqybygllvfnocwirixvvismirniwmovvidxipgrpcdkoxpqmunjjudzthmxxjzuabgwcsinaowqxtlvvejencuiwvaskozgipsqqjsqoouirhkczozxqmdmanpsyohemifibdtvpeeflqlbvxrvvvfultygerbxuckpsklwiqvdmjjlvqwrqymbygbtibomarltfrwqbwrbweklkjbdusdcsmddeldt.com",training-module-01
training-session-39,"TS-A-039",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","alfalolan","alfalolan@acme.es",false,"https://google.es?",training-module-01
training-session-40,"TS-A-040",2022/07/30 00:00,2022/08/20 00:00,"Sevilla","alfalolan","alfalolan@acme.es",false,"https://google.es?a&b",training-module-01
